"draw","R0","gamma","sigma","rho","prop_symp","immune_frac","total_infections","total_reported","peak_reported_wk","attack_pct","finite"
58,2.47749792384068,1.15035099774083,0.646845557763433,0.185510807416952,0.921733388771444,0,5823.29159248531,995.73339446706,44,5.4514993376571,TRUE
59,2.52573212849024,1.14457088162937,0.823292922196752,0.342711800725357,0.859921615972398,0,21719.0929381085,6400.73148496469,44,20.3324217731778,TRUE
60,2.40800680885669,0.928201118946452,0.853392773552647,0.349879915002704,0.784163804004538,0,4979.62884580253,1366.2267311243,44,4.66170084797092,TRUE
61,2.39936713542537,1.17407350078988,0.623041867884416,0.322319662991149,0.678443864678702,0,2797.65682642095,611.77983854879,44,2.61903840705949,TRUE
62,2.41805217673694,1.05632125637075,0.879187913449433,0.348915398957216,0.821369341349679,0,9244.47706759312,2649.35999728639,44,8.65425675678068,TRUE
63,2.63294086131603,0.857207815949089,0.687648182116527,0.196653537675523,0.752589595625191,0,9466.41384354948,1401.02362955826,44,8.8620238190877,TRUE
64,3.03613614814024,1.0837751473746,0.652492297823233,0.219208891991637,0.808070087008423,0,73925.2378820148,13094.8319098,41,69.2054277120529,TRUE
65,2.45257138819743,0.685752754725197,0.719953041067374,0.273493855203833,0.765969287366132,0,1517.68927329181,317.937528651383,44,1.4207913062084,TRUE
66,2.32058423511947,1.12687466839317,0.754188154093173,0.36798855863343,0.872363664612785,0,2634.41727024301,845.700230463421,44,2.46622099816796,TRUE
67,2.65485291238822,0.960094446535738,0.759499040899281,0.258573654506046,0.864165975616782,0,22742.9482416958,5081.92439363889,44,21.2909082959144,TRUE
68,2.39021895315433,1.09046288990699,0.677699073698963,0.259169908225268,0.78176994435618,0,2966.33629863608,601.01308976056,44,2.77694841662243,TRUE
69,2.25785621286934,1.08963706561134,0.959529457371827,0.26351155228028,0.722369512207705,0,3034.44570904986,577.614968561959,44,2.84070933256868,TRUE
70,2.78556433786039,0.986463844450653,0.818938438871749,0.245529843952782,0.736147504970076,0,54571.8859432169,9863.66002995099,43,51.087704496552,TRUE
71,2.34101588918252,1.30671823680339,0.751221425878478,0.226928234108268,0.872982726393348,0,4714.47297459767,933.957974346556,44,4.413474044746,TRUE
72,2.48538720849741,0.945255643128655,0.631151845093951,0.366043949764733,0.780538378464945,0,3207.38784088931,916.387113189489,44,3.00260984917554,TRUE
73,2.64087684008764,0.874435790468772,0.779579673397203,0.186247490582274,0.770409369603834,0,17041.8324573699,2445.27820670454,44,15.9537843637614,TRUE
74,2.0848883998609,0.925989855424919,0.617035959693835,0.241131197794927,0.784521284569129,0,125.766642732398,23.7915973964979,44,0.117736980651936,TRUE
75,2.50484039613882,1.04943757428867,0.945935072047073,0.166057525318407,0.782678477459539,0,23330.1114848071,3032.20644949909,44,21.8405836779696,TRUE
76,2.61432456541865,0.830027948697624,0.818080757300551,0.189828350758173,0.767835173221317,0,14221.9918850569,2072.95322978349,44,13.313978548078,TRUE
77,2.50626010388603,0.9084389191295,0.710181123567922,0.32323327711603,0.733555890583237,0,5224.37568083444,1238.75001694455,44,4.89082164466807,TRUE
78,2.56253586255246,1.09129938570756,0.763667249883907,0.206931797914048,0.669640135980472,0,18605.8166544789,2578.20498653028,44,17.4179148609613,TRUE
79,2.5208031791584,1.21317402766241,0.786563503263951,0.250899557266059,0.626585604911981,0,20900.5255219184,3285.77268033709,44,19.5661163844958,TRUE
80,2.57364378316741,0.845092546644343,0.643986322821273,0.263597394165789,0.686826309137421,0,4668.66222275264,845.240871587418,44,4.37058811341757,TRUE
81,2.68142204492437,1.25898457662829,0.904358320508252,0.215766035695346,0.824016291369939,0,65831.8123100607,11704.5491987839,41,61.6287327373719,TRUE
